time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450100000	15.5378	19.937	4.74908	2.65794	0.521691	lidar	0.575552	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2872	20.1351	4.8645	2.66411	0.491235	radar	6.40083	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0745	20.2544	4.86849	2.68598	0.489049	lidar	0.35001	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8428	20.325	4.85701	2.72233	0.504235	radar	1.59221	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.613	20.4365	4.87792	2.74514	0.50198	lidar	0.232193	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3508	20.5488	4.9493	2.77676	0.518058	radar	1.10488	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1117	20.635	4.95823	2.80323	0.518332	lidar	0.0383747	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8686	20.7153	4.98281	2.8368	0.536549	radar	0.291679	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6099	20.7928	5.01193	2.86422	0.536435	lidar	0.17982	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3775	20.8051	5.00665	2.92224	0.59726	radar	2.16663	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1306	20.8555	5.00886	2.95241	0.597446	lidar	0.00860824	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9125	20.9237	4.98153	2.97224	0.58583	radar	1.88163	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6926	20.9566	4.94491	3.0014	0.586664	lidar	0.314073	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.3926	21.0326	5.04306	3.02303	0.578801	radar	2.49301	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1489	21.0591	5.03423	3.05168	0.578821	lidar	0.0417608	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9273	21.08	5.00543	3.08201	0.585817	radar	1.06801	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.6934	21.0723	4.97527	3.11577	0.590222	lidar	0.312488	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4486	21.0446	4.9594	3.15394	0.599244	radar	1.12514	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2259	21.0301	4.92292	3.18587	0.601905	lidar	0.155939	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	10.9514	20.9799	4.94687	3.22496	0.608054	radar	3.79278	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7386	20.9418	4.89784	3.25961	0.613066	lidar	0.18976	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
